Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
Temperature Rising,The Infirmary > Miller Fork Recreational Preserve (MFRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/113090203/temperature-rising,2.4,-1,Sport,5.8,1,75,37.64186,-83.68375
Bee's Business,Bruise Brothers Wall > Muir Valley > Red River Gorge > Kentucky,https://www.mountainproject.com/route/107116591/bees-business,2.5,-1,Sport,5.8-,1,60,37.72444,-83.62657
First Date,Fruit Wall > Miller Fork Recreational Preserve (MFRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/113749792/first-date,2.5,-1,Sport,5.9,1,,37.64504,-83.67849
"Wadcutter AKA ""Gumby Killer""",Torrent Falls (Limited Access) > Natural Bridge Region > Red River Gorge > Kentucky,https://www.mountainproject.com/route/105870283/wadcutter-aka-gumby-killer,2.5,-1,Sport,5.9+,1,50,37.71998,-83.66294
Mr. Bungle,Left Flank > Northern Gorge > Red River Gorge > Kentucky,https://www.mountainproject.com/route/105860693/mr-bungle,2.5,-1,Sport,5.8,1,60,37.81449,-83.66388
Happy Trails,The Gallery > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106125118/happy-trails,2.6,2,Sport,5.10d,1,80,37.65292,-83.71772
Trouble Clef,Graining Fork Nature Preserve (a.k.a. Roadside Crag) > Natural Bridge Region > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106227805/trouble-clef,2.5,-1,Sport,5.9,1,80,37.73151,-83.65679
Castle Awed,Camelot > Miller Fork Recreational Preserve (MFRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/114530356/castle-awed,2.5,-1,Sport,5.8,1,30,37.64911,-83.67518
Sugar Rush,Chocolate Factory > Bald Rock Recreational Preserve (BRRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/107074597/sugar-rush,2.5,-1,Sport,5.9+,1,65,37.64919,-83.71343
Ledgends of Limonite (direct start),The Great Wall > Muir Valley > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106944299/ledgends-of-limonite-direct-start,2.5,-1,Sport,5.1,1,55,37.73288,-83.63751
Chocolate River,Chocolate Factory > Bald Rock Recreational Preserve (BRRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106453181/chocolate-river,2.4,-1,Sport,5.9,1,50,37.64919,-83.71343
Scabies,Pebble Beach > Northern Gorge > Red River Gorge > Kentucky,https://www.mountainproject.com/route/105860576/scabies,2.5,-1,Sport,5.9+,1,40,37.8588,-83.67163
When Rats Attack,Chica Bonita Wall > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106065310/when-rats-attack,2.5,-1,Sport,5.10b,1,60,37.65078,-83.72161
Johnny on Roofies,Volunteer Wall > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106446581/johnny-on-roofies,2.5,-1,Sport,5.11a,1,60,37.65459,-83.71673
Melon Baller,Fruit Wall > Miller Fork Recreational Preserve (MFRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/110523573/melon-baller,2.5,-1,Sport,5.10d,1,60,37.64504,-83.67849
Hijacked Project,The Boneyard > Muir Valley > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106930963/hijacked-project,2.4,-1,Sport,5.9,1,47,37.73135,-83.63968
Sunshine,Military Wall > Northern Gorge > Red River Gorge > Kentucky,https://www.mountainproject.com/route/105891673/sunshine,2.4,-1,Sport,5.9,1,50,37.8159,-83.66918
Slide,The Playground > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106702543/slide,2.4,-1,Sport,5.9,1,60,37.6532,-83.7146
Put Me In The Zoo,The Old Zoo > The Zoo > Natural Bridge Region > Red River Gorge > Kentucky,https://www.mountainproject.com/route/105918073/put-me-in-the-zoo,2.4,-1,Sport,5.9+,1,70,37.73387,-83.66162
