Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Spike,"Lower Tier > K.  Public Sanitation Wall > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/111856881/spike,3.4,-1,Trad,5.12a,1,80,37.73908,-119.58843
TKO,"Ad. Arch Rock > Lower Merced River Canyon > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/109644658/tko,3.3,-1,Trad,5.11c,1,100,37.6893,-119.7334
"Jungle Book","Bb. The Jungle Gym > Lower Merced River Canyon > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/110302652/jungle-book,2.9,-1,Trad,5.10-,1,170,37.72092,-119.71001
"Sacred Fire","North Whizz Dome > Whizz Domes > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/122536421/sacred-fire,3.7,-1,"Sport, TR",5.13a,1,160,37.87216,-119.4402
Ramer,"6. Middle Cathedral Rock > P. Cathedral Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/107354935/ramer,2.9,-1,Sport,5.10c,1,140,37.7165,-119.6363
"Lyme Line","North Face > Fairview Dome > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/107560238/lyme-line,3.5,-1,Trad,5.12+,10,900,37.87279,-119.40427
"Labor of Love","North Buttress Base Routes > 7. Lower Cathedral Area > P. Cathedral Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/110840254/labor-of-love,2.9,-1,Trad,5.11a,2,90,37.71997,-119.64514
"East Arete","2. Church Tower > P. Cathedral Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/109095837/east-arete,2.8,-1,Trad,5.6,4,,37.71495,-119.63026
"Pocket Gorilla","Northwest Face > Ax. Pulpit Rock > Lower Merced River Canyon > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/116228314/pocket-gorilla,3.5,-1,Trad,5.12a/b,1,80,37.7182,-119.68631
"European Vacation","Pywiack Dome > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/111493779/european-vacation,3.5,-1,Sport,5.13b,2,60,37.8453,-119.444
"The Sermon","Northwest Face > Ax. Pulpit Rock > Lower Merced River Canyon > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105875352/the-sermon,2.9,-1,Trad,5.10b,1,,37.7182,-119.68631
"Steel Driving Man","The Wart (aka Lake of the Domes Dome) > Medlicott Dome > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/115131093/steel-driving-man,3.1,-1,"Sport, Alpine",5.10a,1,100,37.86026,-119.42626
"Cut to Pieces","Razor Back > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/121359302/cut-to-pieces,3.5,-1,Sport,5.10a/b,1,130,37.87303,-119.40109
